EntityName,EntityID,Time,LocationName,LocationID
Manual worker 2,8,583,CentralBuffer_Location,0
Operator 2,5,583,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Manual worker 1,7,584,M3-02_(FR3_02)_Location,2
Operator 1,4,584,M3-01_(FR3_01)_Location,1
Manual worker 2,8,584,M4-02_(FR4_02)_Location,4
Operator 2,5,585,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Manual worker 1,7,585,CentralBuffer_Location,0
Operator 1,4,586,M3-01_(FR3_01)_Location,1
Manual worker 2,8,586,M4-02_(FR4_02)_Location,4
Operator 2,5,586,CentralBuffer_Location,0
Manual worker 1,7,586,CentralBuffer_Location,0
Operator 1,4,587,CentralBuffer_Location,0
Manual worker 2,8,587,CentralBuffer_Location,0
Operator 2,5,587,CentralBuffer_Location,0
