ProductID,ProductNumber,Name,StockUnit,StockBatch,StockLevel,PrescribedBatchsize,ChosenBatchsize
336,7119603,[7119603]  End rib.STEP,,1,0.0,,
337,7120354,[7120354]  Connection strip.STEP,,1,0.0,,
338,7121703,[7121703]  Straight segment V-track.STEP,,1,0.0,,
339,7122309,[7122309]  Curved segment V-track.STEP,,1,0.0,,
340,7124502,[7124502]  Straight segment flat track.STEP,,1,0.0,,
341,7125883,[7125883]  Curved segment flat track.STEP,,1,0.0,,
342,7163327,[7163327]  RD044-M0003.STEP,,1,0.0,,
343,7164618,[7164618]  RD044-M0004.STEP,,1,0.0,,
344,7165466,[7165466]  RD044-M0005.STEP,,1,0.0,,
345,X0846711,[X0846711]  X0846711 ,mm,3000,0.0,,
346,5603-0000-0024,[5603-0000-0024]  Blank C45+C/C45k vk30,Pcs,1,0.0,,
347,7239895,[7239895]  accelero_cube_1part_drilled.STEP,,1,0.0,,
348,7241523,[7241523]  4023 006 26341.stp,,1,0.0,,
349,7242779,[7242779]  4023 006 26661.stp,,1,0.0,,
350,7243806,[7243806]  4023 006 26681.stp,,1,0.0,,
351,7208585,[7208585]  vfr800_front_caliper_delink_bracket_v1_2025Jan20_2106.step,,1,0.0,,
352,7248314,[7248314]  4023 006 16561 CLAMP 4X.stp,,1,0.0,,
353,7249414,[7249414]  4023 006 19871 Tube Protector.stp,,1,0.0,,
354,7245531,[7245531]  Chip_plate_holder.STEP,,1,0.0,,
355,7246981,[7246981]  Peltier_Holder_Adjusted.STEP,,1,0.0,,
356,7247297,[7247297]  Tubing_holder.STEP,,1,0.0,,
357,7244675,[7244675]  V4_fluidic_holder_CAVA2025_TightCooling.STEP,,1,0.0,,
358,7254223,[7254223]  4023 006 31221-A.stp,,1,0.0,,
359,4022-637-39621,[4022-637-39621]  BLOCK FOR LOCKING SCREW ,mm,3000,0.0,,
360,5602-0000-0047,[5602-0000-0047]  RVS 304/304L blank plat 30x25,Pcs,1,0.0,,
361,M.P04743,[M.P04743]  Koppelstrip bovenligger iGate,Pcs,1,0.0,,301
362,5990-0000-0023,[5990-0000-0023]  Customer supplied material - [M.P04743] Koppelstrip bovenligger iGate,Pcs,1,0.0,,
363,4022-699-03382,[4022-699-03382]  EXE WS MP XZ LOCK WEDGE,Pcs,1,0.0,,
